AKS,Abbrev,AKS.Category,AbbrevCat,Group
Arm.Hand.Steadiness,AHS,PMA,PMA_AHS,Abilities
Auditory.Attention,AudAtt,SnA,SnA_AudAtt,Abilities
Category.Flexibility,CatFlex,CgA,CgA_CatFlex,Abilities
Control.Precision,ContPrec,PMA,PMA_ContPrec,Abilities
Deductive.Reasoning,DeduReas,CgA,CgA_DeduReas,Abilities
Depth.Perception,DepthPerc,SnA,SnA_DepthPerc,Abilities
Dynamic.Flexibility,DynFlex,PhA,PhA_DynFlex,Abilities
Dynamic.Strength,DynStr,PhA,PhA_DynStr,Abilities
Explosive.Strength,ExplStr,PhA,PhA_ExplStr,Abilities
Extent.Flexibility,ExtFlex,PhA,PhA_ExtFlex,Abilities
Far.Vision,FarVis,SnA,SnA_FarVis,Abilities
Finger.Dexterity,FingDex,PMA,PMA_FingDex,Abilities
Flexibility.of.Closure,FlexClos,CgA,CgA_FlexClos,Abilities
Fluency.of.Ideas,FluIdea,CgA,CgA_FluIdea,Abilities
Glare.Sensitivity,GlaSens,SnA,SnA_GlaSens,Abilities
Gross.Body.Coordination,GBCoor,PhA,PhA_GBCoor,Abilities
Gross.Body.Equilibrium,GBEquib,PhA,PhA_GBEquib,Abilities
Hearing.Sensitivity,HearSens,SnA,SnA_HearSens,Abilities
Inductive.Reasoning,Induc,CgA,CgA_Induc,Abilities
Information.Ordering,infoOrd,CgA,CgA_infoOrd,Abilities
Manual.Dexterity,ManDext,PMA,PMA_ManDext,Abilities
Mathematical.Reasoning,MathReas,CgA,CgA_MathReas,Abilities
Memorization,Memor,CgA,CgA_Memor,Abilities
Multilimb.Coordination,MLCoord,PMA,PMA_MLCoord,Abilities
Near.Vision,NearVis,SnA,SnA_NearVis,Abilities
Night.Vision,NighVis,SnA,SnA_NighVis,Abilities
Number.Facility,NumFac,CgA,CgA_NumFac,Abilities
Oral.Comprehension,OralComp,CgA,CgA_OralComp,Abilities
Oral.Expression,OralExp,CgA,CgA_OralExp,Abilities
Originality,Orig,CgA,CgA_Orig,Abilities
Perceptual.Speed,PercSpeed,CgA,CgA_PercSpeed,Abilities
Peripheral.Vision,PeriphVis,SnA,SnA_PeriphVis,Abilities
Problem.Sensitivity,ProbSens,CgA,CgA_ProbSens,Abilities
Rate.Control,RateCon,PMA,PMA_RateCon,Abilities
Reaction.Time,RT,PMA,PMA_RT,Abilities
Response.Orientation,RespOrie,PMA,PMA_RespOrie,Abilities
Selective.Attention,SelAtt,CgA,CgA_SelAtt,Abilities
Sound.Localization,SouLocal,SnA,SnA_SouLocal,Abilities
Spatial.Orientation,SpatOrien,CgA,CgA_SpatOrien,Abilities
Speech.Clarity,SpeechCla,SnA,SnA_SpeechCla,Abilities
Speech.Recognition,SpeechRec,SnA,SnA_SpeechRec,Abilities
Speed.of.Closure,SpeedClos,CgA,CgA_SpeedClos,Abilities
Speed.of.Limb.Movement,SpeedLimb,PMA,PMA_SpeedLimb,Abilities
Stamina,Stam,PhA,PhA_Stam,Abilities
Static.Strength,StatStren,PhA,PhA_StatStren,Abilities
Time.Sharing,TimShar,CgA,CgA_TimShar,Abilities
Trunk.Strength,TrunkStren,PhA,PhA_TrunkStren,Abilities
Visual.Color.Discrimination,VisColDisc,SnA,SnA_VisColDisc,Abilities
Visualization,Visua,CgA,CgA_Visua,Abilities
Wrist.Finger.Speed,WristFingSpeed,PMA,PMA_WristFingSpeed,Abilities
Written.Comprehension,WritComp,CgA,CgA_WritComp,Abilities
Written.Expression,WritExp,CgA,CgA_WritExp,Abilities
Administration.and.Management,AdminMan,Bus,Bus_AdminMan,Knowledge
Biology,Bio,NSc,NSc_Bio,Knowledge
Building.and.Construction,BuildCon,Tec,Tec_BuildCon,Knowledge
Chemistry,Chem,NSc,NSc_Chem,Knowledge
Clerical,Cleri,Bus,Bus_Cleri,Knowledge
Communications.and.Media,ComMedia,LnA,LnA_ComMedia,Knowledge
Computers.and.Electronics,CompElec,Tec,Tec_CompElec,Knowledge
Customer.and.Personal.Service,CustServ,Bus,Bus_CustServ,Knowledge
Design,Design,Tec,Tec_Design,Knowledge
Economics.and.Accounting,EconAcc,Bus,Bus_EconAcc,Knowledge
Education.and.Training,EduTrain,SSc,SSc_EduTrain,Knowledge
Engineering.and.Technology,EngTech,Tec,Tec_EngTech,Knowledge
English.Language,EngLang,LnA,LnA_EngLang,Knowledge
Fine.Arts,FineArt,LnA,LnA_FineArt,Knowledge
Food.Production,FoodProd,Tec,Tec_FoodProd,Knowledge
Foreign.Language,ForLang,LnA,LnA_ForLang,Knowledge
Geography,Geo,NSc,NSc_Geo,Knowledge
History.and.Archeology,HistArch,SSc,SSc_HistArch,Knowledge
Law.and.Government,LawGovt,SSc,SSc_LawGovt,Knowledge
MathematicsKnowledge,MathKnow,Tec,Tec_MathKnow,Knowledge
Mechanical,Mech,Tec,Tec_Mech,Knowledge
Medicine.and.Dentistry,MedDent,NSc,NSc_MedDent,Knowledge
Personnel.and.Human.Resources,PersonHR,Bus,Bus_PersonHR,Knowledge
Philosophy.and.Theology,PhiloTheo,SSc,SSc_PhiloTheo,Knowledge
Physics,Physics,NSc,NSc_Physics,Knowledge
Production.and.Processing,ProdProc,Tec,Tec_ProdProc,Knowledge
Psychology,Psych,SSc,SSc_Psych,Knowledge
Public.Safety.and.Security,PubSafSecu,Tec,Tec_PubSafSecu,Knowledge
Sales.and.Marketing,SalesMark,SSc,SSc_SalesMark,Knowledge
Sociology.and.Anthropology,SocioAnthr,SSc,SSc_SocioAnthr,Knowledge
Telecommunications,TelComm,Tec,Tec_TelComm,Knowledge
Therapy.and.Counseling,TherCouns,SSc,SSc_TherCouns,Knowledge
Transportation,Transport,Tec,Tec_Transport,Knowledge
Active.Learning,ActLearn,BaS,BaS_ActLearn,Skills
Active.Listening,AcListen,BaS,BaS_AcListen,Skills
Complex.Problem.Solving,ComProbSolv,CpsS,CpsS_ComProbSolv,Skills
Coordination,Coord,SoS,SoS_Coord,Skills
Critical.Thinking,CritThink,BaS,BaS_CritThink,Skills
Equipment.Maintenance,EqupMain,TeS,TeS_EqupMain,Skills
Equipment.Selection,EquipSel,TeS,TeS_EquipSel,Skills
Installation,Instal,TeS,TeS_Instal,Skills
Instructing,Instru,SoS,SoS_Instru,Skills
Judgment.and.Decision.Making,JudgDM,SyS,SyS_JudgDM,Skills
Learning.Strategies,LearnStrat,BaS,BaS_LearnStrat,Skills
Management.of.Financial.Resources,ManFin,RMS,RMS_ManFin,Skills
Management.of.Material.Resources,ManMat,RMS,RMS_ManMat,Skills
Management.of.Personnel.Resources,ManPers,RMS,RMS_ManPers,Skills
MathematicsSkill,MathSki,BaS,BaS_MathSki,Skills
Monitoring,Monit,BaS,BaS_Monit,Skills
Negotiation,Negot,SoS,SoS_Negot,Skills
Operation.and.Control,OperCont,TeS,TeS_OperCont,Skills
Operation.Monitoring,OperMon,TeS,TeS_OperMon,Skills
Operations.Analysis,OperAna,TeS,TeS_OperAna,Skills
Persuasion,Persu,SoS,SoS_Persu,Skills
Programming,Progra,TeS,TeS_Progra,Skills
Quality.Control.Analysis,QualCont,TeS,TeS_QualCont,Skills
Reading.Comprehension,ReadCom,BaS,BaS_ReadCom,Skills
Repairing,Repair,TeS,TeS_Repair,Skills
Science,Sci,BaS,BaS_Sci,Skills
Service.Orientation,ServOrie,SoS,SoS_ServOrie,Skills
Social.Perceptiveness,SocPerc,SoS,SoS_SocPerc,Skills
Speaking,Speak,BaS,BaS_Speak,Skills
Systems.Analysis,SystAna,SyS,SyS_SystAna,Skills
Systems.Evaluation,SystEval,SyS,SyS_SystEval,Skills
Technology.Design,TechDes,TeS,TeS_TechDes,Skills
Time.Management,TimMan,RMS,RMS_TimMan,Skills
Troubleshooting,TroubSho,TeS,TeS_TroubSho,Skills
Writing,Write,BaS,BaS_Write,Skills
